feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
atr_regime,1.0,0.6553389263391873,0.6767251357964658,False,0.777354687378551,1,1,1,3
hour_cos,0.6800165523872821,0.2265321024500702,0.8529028562289066,False,0.5864838370220863,1,1,1,3
hour,0.5549913942390214,1.0,0.0812684040934507,False,0.5454199327774907,1,1,1,3
hour_sin,0.1869052146717021,0.10266816743057965,0.8455441827045093,False,0.3783725216022637,1,1,1,3
atr_14,0.06964586139208513,0.045068325579539964,1.0,False,0.37157139565720837,0,1,1,2
atr_lag_1,0.0,0.06853668179814636,0.9988659511434433,False,0.3558008776471966,0,1,1,2
session_london,0.48376431458982233,0.05023499889690323,0.4487160425621923,False,0.3275717853496393,1,1,1,3
close_vs_ema50,0.09868409226052183,0.018493635742765167,0.6024329300910126,False,0.23987021936476652,1,0,1,2
volume_ratio,0.2078681646060159,0.11816520603626397,0.340896804293415,False,0.2223100583118983,1,1,1,3
macd,0.10871598098449356,0.021428197941220483,0.40274952205220255,False,0.17763123365930553,1,0,1,2
session_overlap,0.08231605119819639,0.04251675172677343,0.3994779826040023,False,0.17477026184299072,1,1,1,3
macd_sig,0.06787959195686677,0.01355216874604117,0.40464473071667467,False,0.1620254971398609,0,0,1,1
bb_pct,0.10301746213412127,0.06688191987700409,0.2863530016671092,False,0.15208412789274486,1,1,1,3
close_vs_ema200,0.1454407090738151,0.05989731325648843,0.23991185195763448,False,0.148416624762646,1,1,1,3
momentum_10,0.051484762533516366,0.038443659203668615,0.33310755430556194,False,0.14101199201424897,0,0,1,1
stoch_d,0.12231495146548083,0.08852638009965078,0.20617959028753854,False,0.13900697395089004,1,1,1,3
atr_lag_2,0.0409562316953509,0.02168631373946656,0.34823991662831016,False,0.1369608206877092,0,0,1,1
volume_lag_5,0.15432880527787007,0.05585070884950757,0.17275707479451424,False,0.1276455296406306,1,1,1,3
atr_lag_5,0.08345420406315915,0.00403697236475328,0.27568568788428827,False,0.12105895477073357,1,0,1,2
return_1b,0.11663017927405542,0.07484876547032172,0.1619907524297708,False,0.11782323239138265,1,1,1,3
d1_ema50,0.044269881457976896,0.05203584679181877,0.25606078874533966,False,0.1174555056650451,0,1,1,2
atr_lag_3,0.07697388804509248,0.028729859285036557,0.2263061003843305,False,0.11066994923815317,1,0,1,2
is_fomc_day,0.08444748829154572,0.06758425628937971,0.1683677147555984,False,0.10679981977884127,1,1,1,3
price_range,0.12753092733903784,0.07995179850868485,0.10915728060808416,False,0.1055466688186023,1,1,1,3
upper_wick,0.09092533696057163,0.05392235106225458,0.15301233629219904,False,0.09928667477167508,1,1,1,3
obv_slope_20,0.08691272246235948,0.08986076194958036,0.11268806069370518,False,0.09648718170188168,1,1,1,3
obv_zscore_100,0.11032293016732468,0.05725171232484125,0.12156814025875724,False,0.09638092758364104,1,1,1,3
rsi_lag_2,0.08080004145146175,0.04745970939669911,0.15705300852121967,False,0.09510425312312683,1,1,1,3
macd_hist_slope,0.04249303766972027,0.013477405751613278,0.22832918434114552,False,0.09476654258749302,0,0,1,1
bb_width,0.09091687747814066,0.044724324071436734,0.1408345635915275,False,0.09215858838036829,1,1,1,3
rolling_std_10,0.10887212893096847,0.03203995646317017,0.1329893137556467,False,0.09130046638326178,1,0,1,2
close_lag_3,0.08590040439850645,0.03891413859958405,0.14620338054272586,False,0.09033930784693878,1,0,1,2
d1_trend,0.10750662747576493,0.05239337902590701,0.10005805284036409,False,0.08665268644734535,1,1,1,3
is_nfp_day,0.057383489134676544,0.05346735173420318,0.14024283567765639,False,0.08369789218217871,0,1,1,2
williams_r,0.09572750315203762,0.06026000551319742,0.09276270202995841,False,0.0829167368983978,1,1,1,3
month,0.08667374208377635,0.03591295477572705,0.12114912079394557,False,0.08124527255114966,1,0,1,2
volume_lag_3,0.09218016018734805,0.041465941786688956,0.10799734042576979,False,0.08054781413326893,1,0,1,2
d1_ema20,0.059385214164134136,0.0618838072986125,0.11781817548341511,False,0.07969573231538725,0,1,1,2
high_events_next_24h,0.08809458265319622,0.1010222348814781,0.0285456501295901,False,0.07255415588808814,1,1,0,2
volume_lag_1,0.14392293693491126,0.05301590708840393,0.016802906607109848,False,0.07124725021014168,1,1,0,2
med_events_next_4h,0.14473645716170844,0.05198917725388555,0.014416100374609348,False,0.07038057826340112,1,1,0,2
rolling_std_20,0.09873273428448472,0.024994232241380674,0.08464895557806755,False,0.06945864070131098,1,0,1,2
sma_50,0.07031451298230887,0.030448146818009923,0.10277655623239695,False,0.06784640534423858,0,0,1,1
d1_close_vs_ema20,0.13381279799848675,0.04097103828369821,0.028566770663340083,False,0.06778353564850835,1,0,0,1
roc_10,0.07612159519050285,0.058316970328264835,0.06877219510414097,False,0.06773692020763622,1,1,1,3
close_lag_5,0.07736126184459481,0.04869880282888535,0.07148744316208747,False,0.06584916927852254,1,1,1,3
body_ratio,0.04534881794594685,0.049501473014457835,0.10163091476512284,False,0.0654937352418425,0,1,1,2
session_ny,0.08411615856312758,0.045256723738809256,0.06705458385581979,False,0.06547582205258555,1,1,1,3
volume_lag_2,0.039484986709798955,0.039592394906392374,0.11434714399861468,False,0.064474841871602,0,0,1,1
lower_wick,0.12110736034892416,0.03766300511461506,0.03362523557766123,False,0.06413186701373348,1,0,0,1
rsi_lag_5,0.05757770475207885,0.015857781520513706,0.11765046353544394,False,0.06369531660267884,0,0,1,1
stoch_k,0.06346761939237458,0.03448832986350492,0.09276270202996656,False,0.06357288376194868,0,0,1,1
rsi_lag_1,0.08337736376444113,0.05574349504614811,0.049545605404330534,False,0.06288882140497326,1,1,0,2
return_5b,0.09967067939865865,0.05084434023492133,0.03807733352901138,False,0.06286411772086378,1,1,0,2
high_events_next_4h,0.08853412326100166,0.0855506523873934,0.014416100374609348,False,0.06283362534100147,1,1,0,2
close_vs_day_open,0.11534398546660786,0.023685765171728365,0.049447067938007766,False,0.06282560619211466,1,0,0,1
body_size,0.08931556795026073,0.043134693102493585,0.05480657735460502,False,0.06241894613578645,1,1,1,3
macd_hist,0.0741054185452296,0.034389945432187985,0.07126618502218267,False,0.059920516333200086,1,0,1,2
session_asian,0.07930729528140351,0.03134392674510776,0.06711072200896646,False,0.059253981345159246,1,0,1,2
d1_rsi,0.0841418894888438,0.07585852456377078,0.01638145057180264,False,0.05879395487480573,1,1,0,2
rsi_14,0.06979213994239611,0.054275067275227386,0.050362842132569516,False,0.05814334978339767,0,1,0,1
obv,0.08631209920999022,0.07342115921169534,0.01128140287311821,False,0.057004887098267926,1,1,0,2
